"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","13 Oct 2020","11934.65","11988.20","11888.90","11934.50"
"NIFTY 50","12 Oct 2020","11973.55","12022.05","11867.20","11930.95"
"NIFTY 50","09 Oct 2020","11852.05","11938.60","11805.20","11914.20"
"NIFTY 50","08 Oct 2020","11835.40","11905.70","11791.15","11834.60"
"NIFTY 50","07 Oct 2020","11679.25","11763.05","11629.35","11738.85"
"NIFTY 50","06 Oct 2020","11603.45","11680.30","11564.30","11662.40"
"NIFTY 50","05 Oct 2020","11487.80","11578.05","11452.30","11503.35"
"NIFTY 50","01 Oct 2020","11364.45","11428.60","11347.05","11416.95"
"NIFTY 50","30 Sep 2020","11244.45","11295.40","11184.55","11247.55"
"NIFTY 50","29 Sep 2020","11288.60","11305.40","11181.00","11222.40"
"NIFTY 50","28 Sep 2020","11140.85","11239.35","11099.85","11227.55"
"NIFTY 50","25 Sep 2020","10910.40","11072.60","10854.85","11050.25"
"NIFTY 50","24 Sep 2020","11011.00","11015.30","10790.20","10805.55"
"NIFTY 50","23 Sep 2020","11258.75","11259.55","11024.40","11131.85"
"NIFTY 50","22 Sep 2020","11301.75","11302.20","11084.65","11153.65"
"NIFTY 50","21 Sep 2020","11503.80","11535.25","11218.50","11250.55"
"NIFTY 50","18 Sep 2020","11584.10","11584.10","11446.10","11504.95"
"NIFTY 50","17 Sep 2020","11539.40","11587.20","11498.50","11516.10"
"NIFTY 50","16 Sep 2020","11538.45","11618.10","11516.75","11604.55"
"NIFTY 50","15 Sep 2020","11487.20","11535.95","11442.25","11521.80"
"NIFTY 50","14 Sep 2020","11540.15","11568.90","11383.55","11440.05"
"NIFTY 50","11 Sep 2020","11447.80","11493.50","11419.90","11464.45"
"NIFTY 50","10 Sep 2020","11363.30","11464.05","11327.40","11449.25"
"NIFTY 50","09 Sep 2020","11218.60","11298.15","11185.15","11278.00"
"NIFTY 50","08 Sep 2020","11378.55","11437.25","11290.45","11317.35"
"NIFTY 50","07 Sep 2020","11359.60","11381.15","11251.70","11355.05"
"NIFTY 50","04 Sep 2020","11354.40","11452.05","11303.65","11333.85"
"NIFTY 50","03 Sep 2020","11566.20","11584.95","11507.65","11527.45"
"NIFTY 50","02 Sep 2020","11478.55","11554.75","11430.40","11535.00"
"NIFTY 50","01 Sep 2020","11464.30","11553.55","11366.90","11470.25"
"NIFTY 50","31 Aug 2020","11777.55","11794.25","11325.85","11387.50"
"NIFTY 50","28 Aug 2020","11602.95","11686.05","11589.40","11647.60"
"NIFTY 50","27 Aug 2020","11609.30","11617.35","11540.60","11559.25"
"NIFTY 50","26 Aug 2020","11512.85","11561.75","11461.85","11549.60"
"NIFTY 50","25 Aug 2020","11513.10","11525.90","11423.35","11472.25"
"NIFTY 50","24 Aug 2020","11412.00","11497.25","11410.65","11466.45"
"NIFTY 50","21 Aug 2020","11409.65","11418.50","11362.20","11371.60"
"NIFTY 50","20 Aug 2020","11317.45","11361.45","11289.80","11312.20"
"NIFTY 50","19 Aug 2020","11452.15","11460.35","11394.10","11408.40"
"NIFTY 50","18 Aug 2020","11259.80","11401.70","11253.15","11385.35"
"NIFTY 50","17 Aug 2020","11248.90","11267.10","11144.50","11247.10"
"NIFTY 50","14 Aug 2020","11353.30","11366.25","11111.45","11178.40"
"NIFTY 50","13 Aug 2020","11334.85","11359.30","11269.95","11300.45"
"NIFTY 50","12 Aug 2020","11289.00","11322.00","11242.65","11308.40"
"NIFTY 50","11 Aug 2020","11322.25","11373.60","11299.15","11322.50"
"NIFTY 50","10 Aug 2020","11270.25","11337.30","11238.00","11270.15"
"NIFTY 50","07 Aug 2020","11186.65","11231.90","11142.05","11214.05"
"NIFTY 50","06 Aug 2020","11185.70","11256.80","11127.30","11200.15"
"NIFTY 50","05 Aug 2020","11155.75","11225.65","11064.05","11101.65"
"NIFTY 50","04 Aug 2020","10946.65","11112.25","10908.10","11095.25"
"NIFTY 50","03 Aug 2020","11057.55","11058.05","10882.25","10891.60"
"NIFTY 50","31 Jul 2020","11139.50","11150.40","11026.65","11073.45"
"NIFTY 50","30 Jul 2020","11254.30","11299.95","11084.95","11102.15"
"NIFTY 50","29 Jul 2020","11276.90","11341.40","11149.75","11202.85"
"NIFTY 50","28 Jul 2020","11154.10","11317.75","11151.40","11300.55"
"NIFTY 50","27 Jul 2020","11225.00","11225.00","11087.85","11131.80"
"NIFTY 50","24 Jul 2020","11149.95","11225.40","11090.30","11194.15"
"NIFTY 50","23 Jul 2020","11135.00","11239.80","11103.15","11215.45"
"NIFTY 50","22 Jul 2020","11231.20","11238.10","11056.55","11132.60"
"NIFTY 50","21 Jul 2020","11126.10","11179.55","11113.25","11162.25"
"NIFTY 50","20 Jul 2020","10999.45","11037.90","10953.00","11022.20"
"NIFTY 50","17 Jul 2020","10752.00","10933.45","10749.65","10901.70"
"NIFTY 50","16 Jul 2020","10706.20","10755.30","10595.20","10739.95"
"NIFTY 50","15 Jul 2020","10701.00","10827.45","10577.75","10618.20"
"NIFTY 50","14 Jul 2020","10750.85","10755.65","10562.90","10607.35"
"NIFTY 50","13 Jul 2020","10851.85","10894.05","10756.05","10802.70"
"NIFTY 50","10 Jul 2020","10764.10","10819.40","10713.00","10768.05"
"NIFTY 50","09 Jul 2020","10755.55","10836.85","10733.00","10813.45"
"NIFTY 50","08 Jul 2020","10818.65","10847.85","10676.55","10705.75"
"NIFTY 50","07 Jul 2020","10802.85","10813.80","10689.70","10799.65"
"NIFTY 50","06 Jul 2020","10723.85","10811.40","10695.10","10763.65"
"NIFTY 50","03 Jul 2020","10614.95","10631.30","10562.65","10607.35"
"NIFTY 50","02 Jul 2020","10493.05","10598.20","10485.55","10551.70"
"NIFTY 50","01 Jul 2020","10323.80","10447.05","10299.60","10430.05"
"NIFTY 50","30 Jun 2020","10382.60","10401.05","10267.35","10302.10"
"NIFTY 50","29 Jun 2020","10311.95","10337.95","10223.60","10312.40"
"NIFTY 50","26 Jun 2020","10378.90","10409.85","10311.25","10383.00"
"NIFTY 50","25 Jun 2020","10235.55","10361.80","10194.50","10288.90"
"NIFTY 50","24 Jun 2020","10529.25","10553.15","10281.95","10305.30"
"NIFTY 50","23 Jun 2020","10347.95","10484.70","10301.75","10471.00"
"NIFTY 50","22 Jun 2020","10318.75","10393.65","10277.60","10311.20"
"NIFTY 50","19 Jun 2020","10119.00","10272.40","10072.65","10244.40"
"NIFTY 50","18 Jun 2020","9863.25","10111.20","9845.05","10091.65"
"NIFTY 50","17 Jun 2020","9876.70","10003.60","9833.80","9881.15"
"NIFTY 50","16 Jun 2020","10014.80","10046.15","9728.50","9914.00"
"NIFTY 50","15 Jun 2020","9919.35","9943.35","9726.35","9813.70"
"NIFTY 50","12 Jun 2020","9544.95","9996.05","9544.35","9972.90"
"NIFTY 50","11 Jun 2020","10094.10","10112.05","9885.05","9902.00"
"NIFTY 50","10 Jun 2020","10072.60","10148.75","10036.85","10116.15"
"NIFTY 50","09 Jun 2020","10181.15","10291.15","10021.45","10046.65"
"NIFTY 50","08 Jun 2020","10326.75","10328.50","10120.25","10167.45"
"NIFTY 50","05 Jun 2020","10093.80","10177.80","10040.75","10142.15"
"NIFTY 50","04 Jun 2020","10054.25","10123.85","9944.25","10029.10"
"NIFTY 50","03 Jun 2020","10108.30","10176.20","10035.55","10061.55"
"NIFTY 50","02 Jun 2020","9880.85","9995.60","9824.05","9979.10"
"NIFTY 50","01 Jun 2020","9726.85","9931.60","9706.95","9826.15"
"NIFTY 50","29 May 2020","9422.20","9598.85","9376.90","9580.30"
"NIFTY 50","28 May 2020","9364.95","9511.25","9336.50","9490.10"
"NIFTY 50","27 May 2020","9082.20","9334.00","9004.25","9314.95"
"NIFTY 50","26 May 2020","9099.75","9161.65","8996.65","9029.05"
